symbol,effective_from,effective_to,index_name,source,notes
LAURUSLABS,2021-03-31,2024-09-29,NIFTY200,niftyindices_pr_scraped,
LAURUSLABS,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
LENSKART,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
LGEINDIA,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
LICHSGFIN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
LICI,2022-08-08,2026-03-29,NIFTY200,niftyindices_pr_scraped,
LINDEINDIA,2022-09-30,2023-03-30,NIFTY200,niftyindices_pr_scraped,
LODHA,2023-09-29,,NIFTY200,niftyindices_pr_scraped,
LT,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
LTF,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
LTM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
LTTS,2019-03-29,2024-09-29,NIFTY200,niftyindices_pr_scraped,
LUPIN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
M&M,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
M&MFIN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MAHABANK,2024-03-28,2025-09-29,NIFTY200,niftyindices_pr_scraped,
MANAPPURAM,2018-01-01,2022-09-29,NIFTY200,niftyindices_pr_scraped,
MANKIND,2023-07-13,,NIFTY200,niftyindices_pr_scraped,
MARICO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MARUTI,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MAXHEALTH,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
MAZDOCK,2023-09-29,,NIFTY200,niftyindices_pr_scraped,
MCX,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
METROPOLIS,2022-03-31,2022-09-29,NIFTY200,niftyindices_pr_scraped,
MFSL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MGL,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
MINDTREE,2018-01-01,2022-09-29,NIFTY200,niftyindices_pr_scraped,
MOTHERSON,2022-09-30,,NIFTY200,niftyindices_pr_scraped,
MOTHERSUMI,2018-01-01,2021-06-29,NIFTY200,niftyindices_pr_scraped,
MOTILALOFS,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
MPHASIS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MRF,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
MRPL,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
MRPL,2024-09-30,2025-03-27,NIFTY200,niftyindices_pr_scraped,
MSUMI,2022-09-30,2024-03-27,NIFTY200,niftyindices_pr_scraped,
MUTHOOTFIN,2018-01-01,2024-03-27,NIFTY200,niftyindices_pr_scraped,
MUTHOOTFIN,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
NAM-INDIA,2018-01-01,2023-03-30,NIFTY200,niftyindices_pr_scraped,
NATCOPHARM,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
NATIONALUM,2018-01-01,2023-03-30,NIFTY200,niftyindices_pr_scraped,
NATIONALUM,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
NAUKRI,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
NAVINFLUOR,2020-09-25,2024-03-27,NIFTY200,niftyindices_pr_scraped,
NBCC,2018-01-01,2020-06-25,NIFTY200,niftyindices_pr_scraped,
NESTLEIND,2019-09-27,,NIFTY200,niftyindices_pr_scraped,
NHPC,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
NHPC,2023-03-31,,NIFTY200,niftyindices_pr_scraped,
NIACL,2018-09-28,2020-06-25,NIFTY200,niftyindices_pr_scraped,
NLCINDIA,2024-09-30,2025-03-27,NIFTY200,niftyindices_pr_scraped,
NMDC,2018-01-01,2022-08-07,NIFTY200,niftyindices_pr_scraped,
NMDC,2023-03-31,,NIFTY200,niftyindices_pr_scraped,
NTPC,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
NTPCGREEN,2025-03-28,2026-03-29,NIFTY200,niftyindices_pr_scraped,
NYKAA,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
OBEROIRLTY,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
OFSS,2018-01-01,2021-03-30,NIFTY200,niftyindices_pr_scraped,
OFSS,2022-03-31,2023-09-28,NIFTY200,niftyindices_pr_scraped,
OFSS,2024-03-28,,NIFTY200,niftyindices_pr_scraped,
OIL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
OLAELEC,2025-03-28,2025-09-29,NIFTY200,niftyindices_pr_scraped,
ONGC,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ORIENTBANK,2019-09-27,2019-12-26,NIFTY200,niftyindices_pr_scraped,
